row_index,date,time,temp,weather,wind,humidity,barometer,visibility
2024-01-07 17:51,2024-01-07,17:51,2 °C,Mostly cloudy.,7 km/h,82%,1008 mbar,16 km
2024-01-07 18:25,2024-01-07,18:25,2 °C,Mostly cloudy.,11 km/h,79%,1009 mbar,16 km
2024-01-07 19:51,2024-01-07,19:51,2 °C,Clear.,13 km/h,75%,1011 mbar,16 km
2024-01-07 20:51,2024-01-07,20:51,2 °C,Passing clouds.,13 km/h,67%,1012 mbar,16 km
2024-01-07 21:51,2024-01-07,21:51,2 °C,Clear.,20 km/h,64%,1013 mbar,16 km
2024-01-07 22:51,2024-01-07,22:51,3 °C,Overcast.,15 km/h,65%,1014 mbar,16 km
2024-01-07 23:15,2024-01-07,23:15,3 °C,Overcast.,11 km/h,65%,1016 mbar,16 km
2024-01-07 23:51,2024-01-07,23:51,3 °C,Overcast.,7 km/h,65%,1016 mbar,16 km
2024-01-08 01:03,2024-01-08,01:03,2 °C,Overcast.,N/A,64%,1018 mbar,16 km
2024-01-08 01:32,2024-01-08,01:32,3 °C,Overcast.,13 km/h,62%,1018 mbar,16 km
2024-01-08 01:51,2024-01-08,01:51,3 °C,Overcast.,15 km/h,65%,1018 mbar,16 km
2024-01-08 02:51,2024-01-08,02:51,3 °C,Overcast.,7 km/h,65%,1019 mbar,16 km
2024-01-08 03:51,2024-01-08,03:51,3 °C,Passing clouds.,15 km/h,60%,1020 mbar,16 km
2024-01-08 04:51,2024-01-08,04:51,3 °C,Overcast.,11 km/h,57%,1021 mbar,16 km
2024-01-08 05:51,2024-01-08,05:51,3 °C,Passing clouds.,17 km/h,54%,1023 mbar,16 km
2024-01-08 06:51,2024-01-08,06:51,3 °C,Clear.,19 km/h,57%,1023 mbar,16 km
2024-01-08 07:51,2024-01-08,07:51,3 °C,Partly sunny.,6 km/h,60%,1025 mbar,16 km
2024-01-08 08:51,2024-01-08,08:51,3 °C,Sunny.,9 km/h,58%,1026 mbar,16 km
2024-01-08 09:51,2024-01-08,09:51,4 °C,Sunny.,N/A,53%,1028 mbar,16 km
2024-01-08 10:51,2024-01-08,10:51,5 °C,Sunny.,11 km/h,49%,1028 mbar,16 km
2024-01-08 11:51,2024-01-08,11:51,7 °C,Sunny.,15 km/h,41%,1028 mbar,16 km
2024-01-08 12:51,2024-01-08,12:51,7 °C,Passing clouds.,15 km/h,41%,1028 mbar,16 km
2024-01-08 13:39,2024-01-08,13:39,7 °C,Sunny.,11 km/h,41%,1029 mbar,2 km
2024-01-08 13:51,2024-01-08,13:51,7 °C,Sunny.,15 km/h,41%,1028 mbar,16 km
2024-01-08 14:51,2024-01-08,14:51,7 °C,Sunny.,11 km/h,41%,1028 mbar,16 km
2024-01-08 15:51,2024-01-08,15:51,6 °C,Sunny.,No wind,45%,1029 mbar,16 km
2024-01-08 16:51,2024-01-08,16:51,6 °C,Clear.,6 km/h,47%,1029 mbar,16 km
2024-01-08 17:51,2024-01-08,17:51,5 °C,Clear.,6 km/h,49%,1031 mbar,16 km
2024-01-08 19:51,2024-01-08,19:51,5 °C,Clear.,6 km/h,49%,1031 mbar,16 km
2024-01-08 20:51,2024-01-08,20:51,4 °C,Clear.,No wind,53%,1031 mbar,16 km
2024-01-08 21:51,2024-01-08,21:51,4 °C,Clear.,No wind,53%,1030 mbar,16 km
2024-01-08 22:51,2024-01-08,22:51,4 °C,Clear.,No wind,55%,1030 mbar,16 km
2024-01-08 23:51,2024-01-08,23:51,3 °C,Clear.,No wind,55%,1030 mbar,16 km
2024-01-09 00:51,2024-01-09,00:51,3 °C,Passing clouds.,No wind,58%,1030 mbar,16 km
2024-01-09 01:51,2024-01-09,01:51,3 °C,Clear.,No wind,65%,1030 mbar,16 km
2024-01-09 02:51,2024-01-09,02:51,3 °C,Clear.,No wind,60%,1030 mbar,16 km
2024-01-09 03:51,2024-01-09,03:51,3 °C,Clear.,No wind,65%,1029 mbar,16 km
2024-01-09 04:51,2024-01-09,04:51,4 °C,Clear.,7 km/h,57%,1028 mbar,16 km
2024-01-09 05:51,2024-01-09,05:51,4 °C,Passing clouds.,7 km/h,58%,1028 mbar,16 km
2024-01-09 06:51,2024-01-09,06:51,4 °C,Overcast.,6 km/h,60%,1028 mbar,16 km
2024-01-09 07:51,2024-01-09,07:51,4 °C,Passing clouds.,7 km/h,65%,1026 mbar,16 km
